record_kind,certificate_name,certificate_number,issuer_raw,scope_raw,validity_raw,valid_until,validity_status,fact_status,source_table_index,source_row_number,source_file,source_page,fact_source_allowed_for_enterprise,allowed_for_bid,report_number,report_name,product_name,product_family,specification_model_raw,report_date_raw,duplicate_action,equipment_name,equipment_model,quantity_raw,last_calibration_date_raw,manufacturer_origin_raw
management_system_certificate_claim,质量管理体系认证证书,06925Q10172R4,凯 新认证（北京）有限公司,资质范围内的电表箱及低压无功补偿配电柜的生产；非标电力金具（横担、抱箍、拉线棒）、高压隔离开关、高压熔断器、电缆保护管的生产；管状母线、电缆分支箱及柱上断路器的销售,有效期至 2028 年 02 月 15 日,2028-02-15,date_valid_unverified_original,historical_claim_requires_original_certificate,7,2,assets/template_words/技术补充文件.docx,318,False,False,,,,,,,,,,,,
management_system_certificate_claim,职业健康安全管理体系认证证书,626023S10219R0,凯 新认证（北京）有限公司,资质范围内的电表箱及低压无功补偿配电柜的生产；非标电力金具（横担、抱箍、拉线棒）、高压隔离开关、高压熔断器、电缆保护管的生产；管状母线、电缆分支箱及柱上断路器的销售,有效期至 2026 年 06 月 18 日,2026-06-18,expired,historical_claim_requires_original_certificate,7,3,assets/template_words/技术补充文件.docx,318,False,False,,,,,,,,,,,,
management_system_certificate_claim,环境管理体系认证证书,17424E20980R0M,华信创（北京）认证中心有限公司,低压配电箱的生产，电力金具、铁附件、电缆保护管的销售所涉及的环境管理活动,有效期至 2027 年 10 月 20 日,2027-10-20,date_valid_unverified_original,historical_claim_requires_original_certificate,7,4,assets/template_words/技术补充文件.docx,318,False,False,,,,,,,,,,,,
inspection_report_registry,,,辽宁省产品质量监督检验院国家建筑装修材料质量安全检验检测中心,,永久,,,verified_existing_report_number,9,2,assets/template_words/技术补充文件.docx,329,True,False,2024100312005501713,检验报告,CPVC电缆保护管,CPVC电缆保护管,DS 250 × 15 × 6000 SN16 PVC-C,2024年03月25日,link_existing_evidence_do_not_reingest,,,,,
inspection_report_registry,,,辽宁省产品质量监督检验院国家建筑装修材料质量安全检验检测中心,,永久,,,verified_existing_report_number,9,3,assets/template_words/技术补充文件.docx,329,True,False,2024100312005501712,检验报告,MPP 电缆保护管,MPP电缆保护管,DF 250 × 22 × 9000SN40 MPP,2024年03月25日,link_existing_evidence_do_not_reingest,,,,,
inspection_report_registry,,,辽宁省产品质量监督检验院(辽宁省消防技术检测站、辽宁省烟花爆竹产品质量监督检验中心) 、国家建筑装修材料质量安全检验检测中心,,永久,,,unverified_historical_report_claim,9,4,assets/template_words/技术补充文件.docx,329,False,False,2024400312005505333,检验报告,涂塑钢制电缆导管(N-HAP),涂塑钢制电缆导管（N-HAP）,DG200 × 4.5 × 6000,2025年01月08日,hold_until_original_report_received,,,,,
inspection_report_registry,,,辽宁省产品质量监督检验院(辽宁省消防技术检测站、辽宁省烟花爆竹产品质量监督检验中心) 、国家建筑装修材料质量安全检验检测中心,,永久,,,unverified_historical_report_claim,9,5,assets/template_words/技术补充文件.docx,329,False,False,2025200312005503479,检验报告,硬聚氯乙烯塑料(UPVC)电力电缆导管,UPVC电力电缆导管,DS150 × 9.5 × 6000-Φ32 × 11SN32 UPVC,2025年06月20日,hold_until_original_report_received,,,,,
equipment_calibration_registry,,,,,,,,historical_claim_requires_current_calibration_evidence,10,2,assets/template_words/技术补充文件.docx,350,False,False,,,,,,,,电子拉力试验机,LD-5,1,2025-03-19,济南艾德诺仪器有限公司
equipment_calibration_registry,,,,,,,,historical_claim_requires_current_calibration_evidence,10,3,assets/template_words/技术补充文件.docx,350,False,False,,,,,,,,微机控制电子万能试验机,WDW-1,1,2025-03-19,济南辰 达试验 机制造有限公司
equipment_calibration_registry,,,,,,,,historical_claim_requires_current_calibration_evidence,10,4,assets/template_words/技术补充文件.docx,350,False,False,,,,,,,,熔体流动速率仪,XNR-400AM,1,2025-03-19,承德衡通试验检验仪器有限公司
equipment_calibration_registry,,,,,,,,historical_claim_requires_current_calibration_evidence,10,5,assets/template_words/技术补充文件.docx,350,False,False,,,,,,,,热变型、 维卡软化点 温度测定仪,XRW-300HL-3,1,2025-03-19,石家庄开发区中实验检测设备有限公司
equipment_calibration_registry,,,,,,,,historical_claim_requires_current_calibration_evidence,10,6,assets/template_words/技术补充文件.docx,350,False,False,,,,,,,,锤击试验装置,SR-1,1,2025-03-19,济南辰 达试验 机制造有限公司
equipment_calibration_registry,,,,,,,,historical_claim_requires_current_calibration_evidence,10,7,assets/template_words/技术补充文件.docx,350,False,False,,,,,,,,电子天平,FA1004,1,2025-03-19,上海衡际科学仪器有限公司
