candidate_id,bid_volume,record_type,title,source_file,source_section,source_page,fact_kind,report_or_certificate_no,content_sha256,media_sha256,media_width,media_height,file_exact_status,visual_status,visual_phash,visual_hamming_distance,visual_protection_reason,text_status,business_key,business_status,dedup_status,match_scope,matched_record_ids,evidence_bundle_id,manual_review_required,promotion_eligible,quality_tier,allowed_for_bid,decision_reason
technical-fact-0001,technical,fact_candidate,历史项目招标编号 SL265A,assets/template_words/技术补充文件.docx,未归入章节,1,project_identifier,SL265A,1da507cb8ca761d8e60d300c90d82705f6b7d5fdcecbced2456de38fa79e2b3c,,,,no_exact_match,not_applicable,,,,not_checked,历史项目|SL265A,no_business_match,fact_conflict,,[],,True,False,review_only,False,历史项目专属编号/固化ID不得复用于新项目，必须以本次招标文件覆盖
technical-media-0001,technical,media,历史标书内嵌媒体,assets/template_words/技术补充文件.docx,未归入章节,1,,,da2418eb84c5b466c62f92b2c08defbee1aa3eb16f09ef3d414132378b0987b2,da2418eb84c5b466c62f92b2c08defbee1aa3eb16f09ef3d414132378b0987b2,173,90,no_exact_match,possible_visual_duplicate,849295b5f9dcd77f,1,small_fragment_or_stamp_risk,not_checked,,not_applicable,possible_visual_duplicate,existing_baseline,"[""315c2809c2c3412fcad95856""]",taichang-visual-review-2137b36704aaafab504a,True,False,review_only,False,感知哈希近似且存在空白页/小图/签章误判风险，严禁自动合并
technical-chapter-001,technical,chapter,（一）技术偏差表,assets/template_words/技术补充文件.docx,（一）技术偏差表,4,,,161966403baa284ec56931c415cfe5e681336f94316c32e4c3d02d90629d3960,,,,no_exact_match,not_applicable,,,,not_checked,,not_applicable,new,,[],,True,False,review_only,False,未发现可自动确认的重复；仍需进入 P0-05 标签和人工审核；该记录是结构/表单参考，不属于正式资产入库对象
technical-chapter-002,technical,chapter,1.技术偏差表,assets/template_words/技术补充文件.docx,（一）技术偏差表 / 1.技术偏差表,4,,,32230dba9a14b3f20aacc1c9a9727fcc6160090923f1c304600ebc4ce09e6423,,,,no_exact_match,not_applicable,,,,not_checked,,not_applicable,new,,[],,True,False,review_only,False,未发现可自动确认的重复；仍需进入 P0-05 标签和人工审核；该记录是结构/表单参考，不属于正式资产入库对象
technical-fact-0002,technical,fact_candidate,历史项目招标编号 SL265,assets/template_words/技术补充文件.docx,（一）技术偏差表 / 1.技术偏差表,4,project_identifier,SL265,738feab51fe7e166450efd6b11cc5871ec72e2ba8f1234721608c3582c2b4a70,,,,no_exact_match,not_applicable,,,,not_checked,历史项目|SL265,no_business_match,fact_conflict,,[],,True,False,review_only,False,历史项目专属编号/固化ID不得复用于新项目，必须以本次招标文件覆盖
technical-fact-0003,technical,fact_candidate,历史项目招标编号 SL265A,assets/template_words/技术补充文件.docx,（一）技术偏差表 / 1.技术偏差表,4,project_identifier,SL265A,1da507cb8ca761d8e60d300c90d82705f6b7d5fdcecbced2456de38fa79e2b3c,,,,no_exact_match,not_applicable,,,,not_checked,历史项目|SL265A,same_business_key_historical_candidate,fact_conflict,,[],,True,False,review_only,False,历史项目专属编号/固化ID不得复用于新项目，必须以本次招标文件覆盖
technical-fact-0004,technical,fact_candidate,候选产品规格 200,assets/template_words/技术补充文件.docx,（一）技术偏差表 / 1.技术偏差表,4,candidate_product_spec,200,1e0dbd60795ef883369a0e31cb3f16ad10beca7cfe04248e2b9c2bacdff0ddef,,,,no_exact_match,not_applicable,,,,not_checked,,not_applicable,new,,[],,True,False,review_only,False,未发现可自动确认的重复；仍需进入 P0-05 标签和人工审核
technical-table-001,technical,table,1.技术偏差表,assets/template_words/技术补充文件.docx,（一）技术偏差表 / 1.技术偏差表,4,,,900f2c33ae86c7da7111bb86b3b13f4f0930bd34271afa904056c87159b9b531,,,,no_exact_match,not_applicable,,,,not_checked,,not_applicable,new,,[],,True,False,review_only,False,未发现可自动确认的重复；仍需进入 P0-05 标签和人工审核；该记录是结构/表单参考，不属于正式资产入库对象
technical-chapter-003,technical,chapter,（二）专项投标文件,assets/template_words/技术补充文件.docx,（二）专项投标文件,5,,,59478a79ce1fa94919b44c147d813e5dbf02662dc9dbcef22807b3e2d5abbfe5,,,,no_exact_match,not_applicable,,,,not_checked,,not_applicable,new,,[],,True,False,review_only,False,未发现可自动确认的重复；仍需进入 P0-05 标签和人工审核；该记录是结构/表单参考，不属于正式资产入库对象
technical-chapter-004,technical,chapter,1.业绩文件,assets/template_words/技术补充文件.docx,（二）专项投标文件 / 1.业绩文件,5,,,25cf18807d7ab589d998e7d739f1e8e9c41b5883b5a26859f758db8e2b13a33f,,,,no_exact_match,not_applicable,,,,not_checked,,not_applicable,new,,[],,True,False,review_only,False,未发现可自动确认的重复；仍需进入 P0-05 标签和人工审核；该记录是结构/表单参考，不属于正式资产入库对象
