candidate_count,dedup_statuses,evidence_type,evidence_type_label,machine_recommendations,product_families,required_checks,review_group_id,sensitivity_labels,source_document_name,source_section,target_library,target_library_label
1,"[""未发现重复，仍需审核""]",enterprise_evidence,企业证明材料,"[""核验原始证据""]",[],"[""确认资料归属泰昌、内容真实、时效有效、中文展示合规且目标库正确""]",P006-G001,"[""企业内部资料""]",泰昌商务补充文件,(三)补充文件/12.其他/12.1.发明专利证书,qualification_library,资信库资料
1,"[""未发现重复，仍需审核""]",project_performance,项目业绩,"[""核验原始证据""]",[],"[""确认资料归属泰昌、内容真实、时效有效、中文展示合规且目标库正确""]",P006-G002,"[""企业内部资料""]",泰昌商务补充文件,(三)补充文件/12.其他/12.3.河北省守合同重信用企业,qualification_library,资信库资料
2,"[""未发现重复，仍需审核""]",enterprise_evidence,企业证明材料,"[""核验原始证据""]",[],"[""确认资料归属泰昌、内容真实、时效有效、中文展示合规且目标库正确""]",P006-G003,"[""企业内部资料""]",泰昌商务补充文件,(三)补充文件/12.其他/12.4.中国裁判文书网查询截图,qualification_library,资信库资料
2,"[""未发现重复，仍需审核""]",enterprise_evidence,企业证明材料,"[""核验原始证据""]",[],"[""确认资料归属泰昌、内容真实、时效有效、中文展示合规且目标库正确""]",P006-G004,"[""企业内部资料""]",泰昌商务补充文件,(三)补充文件/12.其他/12.5.中国执行信息公开网查询截图,qualification_library,资信库资料
2,"[""未发现重复，仍需审核""]",finance,财务资料,"[""核验原始证据""]",[],"[""确认资料归属泰昌、内容真实、时效有效、中文展示合规且目标库正确""]",P006-G005,"[""企业内部资料""]",泰昌商务补充文件,(三)补充文件/12.其他/12.6.一般纳税人查询截图,qualification_library,资信库资料
1,"[""未发现重复，仍需审核""]",enterprise_evidence,企业证明材料,"[""延后授权""]",[],"[""身份、银行、财务、社保、股权或授权资料必须确认权限和使用范围""]",P006-G006,"[""敏感资料""]",泰昌商务补充文件,(三)补充文件/2.投标人情况/附：国家企业信用信息公示系统（http://www.gsxt.gov.cn）查询的股东（企业或自然人）名称及详细出资情况截图,qualification_library,资信库资料
1,"[""未发现重复，仍需审核""]",enterprise_evidence,企业证明材料,"[""核验原始证据""]",[],"[""确认资料归属泰昌、内容真实、时效有效、中文展示合规且目标库正确""]",P006-G007,"[""企业内部资料""]",泰昌商务补充文件,(三)补充文件/2.投标人情况/附：股权证明材料,qualification_library,资信库资料
1,"[""未发现重复，仍需审核""]",business_license,基础证照,"[""核验原始证据""]",[],"[""确认资料归属泰昌、内容真实、时效有效、中文展示合规且目标库正确""]",P006-G008,"[""企业内部资料""]",泰昌商务补充文件,(三)补充文件/3.企业法人营业执照,qualification_library,资信库资料
1,"[""未发现重复，仍需审核""]",business_license,基础证照,"[""核验原始证据""]",[],"[""确认资料归属泰昌、内容真实、时效有效、中文展示合规且目标库正确""]",P006-G009,"[""企业内部资料""]",泰昌商务补充文件,(三)补充文件/5.符合招标文件投标人资格要求的证明文件/5.2查询报告及截图/5.2.1.国家企业信用信息公示系统查询结果/（1）营业执照信息查询截图,qualification_library,资信库资料
1,"[""未发现重复，仍需审核""]",enterprise_evidence,企业证明材料,"[""核验原始证据""]",[],"[""确认资料归属泰昌、内容真实、时效有效、中文展示合规且目标库正确""]",P006-G010,"[""企业内部资料""]",泰昌商务补充文件,(三)补充文件/5.符合招标文件投标人资格要求的证明文件/5.2查询报告及截图/5.2.1.国家企业信用信息公示系统查询结果/（2）清算信息查询截图,qualification_library,资信库资料
1,"[""未发现重复，仍需审核""]",enterprise_evidence,企业证明材料,"[""核验原始证据""]",[],"[""确认资料归属泰昌、内容真实、时效有效、中文展示合规且目标库正确""]",P006-G011,"[""企业内部资料""]",泰昌商务补充文件,(三)补充文件/5.符合招标文件投标人资格要求的证明文件/5.2查询报告及截图/5.2.1.国家企业信用信息公示系统查询结果/（3）行政处罚信息查询截图,qualification_library,资信库资料
1,"[""未发现重复，仍需审核""]",enterprise_evidence,企业证明材料,"[""核验原始证据""]",[],"[""确认资料归属泰昌、内容真实、时效有效、中文展示合规且目标库正确""]",P006-G012,"[""企业内部资料""]",泰昌商务补充文件,(三)补充文件/5.符合招标文件投标人资格要求的证明文件/5.2查询报告及截图/5.2.1.国家企业信用信息公示系统查询结果/（4）纳入经营异常名录信息查询截图,qualification_library,资信库资料
1,"[""未发现重复，仍需审核""]",enterprise_evidence,企业证明材料,"[""核验原始证据""]",[],"[""确认资料归属泰昌、内容真实、时效有效、中文展示合规且目标库正确""]",P006-G013,"[""企业内部资料""]",泰昌商务补充文件,(三)补充文件/5.符合招标文件投标人资格要求的证明文件/5.2查询报告及截图/5.2.1.国家企业信用信息公示系统查询结果/（5）纳入严重违反失信企业名单（黑名单）信息查询截图,qualification_library,资信库资料
3,"[""未发现重复，仍需审核""]",enterprise_evidence,企业证明材料,"[""延后授权""]",[],"[""身份、银行、财务、社保、股权或授权资料必须确认权限和使用范围""]",P006-G014,"[""敏感资料""]",泰昌商务补充文件,(三)补充文件/5.符合招标文件投标人资格要求的证明文件/5.2查询报告及截图/5.2.1.国家企业信用信息公示系统查询结果/（6）股东及出资信息查询截图,qualification_library,资信库资料
37,"[""未发现重复，仍需审核"", ""视觉疑似重复""]",enterprise_evidence,企业证明材料,"[""优先核重"", ""核验原始证据""]",[],"[""查看原件并确认是新资产、重复资产或同一证据的不同载体"", ""确认资料归属泰昌、内容真实、时效有效、中文展示合规且目标库正确""]",P006-G015,"[""企业内部资料""]",泰昌商务补充文件,(三)补充文件/5.符合招标文件投标人资格要求的证明文件/5.2查询报告及截图/5.2.1.国家企业信用信息公示系统查询结果/（7）国家企业信用信息公示系统查询截图,qualification_library,资信库资料
7,"[""未发现重复，仍需审核"", ""视觉疑似重复""]",enterprise_evidence,企业证明材料,"[""优先核重"", ""核验原始证据""]",[],"[""查看原件并确认是新资产、重复资产或同一证据的不同载体"", ""确认资料归属泰昌、内容真实、时效有效、中文展示合规且目标库正确""]",P006-G016,"[""企业内部资料""]",泰昌商务补充文件,(三)补充文件/5.符合招标文件投标人资格要求的证明文件/5.2查询报告及截图/5.2.2.信用中国”（www.creditchina.gov.cn）中的查询结果,qualification_library,资信库资料
28,"[""未发现重复，仍需审核"", ""视觉疑似重复""]",finance,财务资料,"[""优先核重"", ""延后授权""]",[],"[""查看原件并确认是新资产、重复资产或同一证据的不同载体"", ""身份、银行、财务、社保、股权或授权资料必须确认权限和使用范围""]",P006-G017,"[""敏感资料""]",泰昌商务补充文件,(三)补充文件/6.财务状况/6.1.新增2024年审计报告,qualification_library,资信库资料
1,"[""未发现重复，仍需审核""]",authorization,授权文件,"[""延后授权""]",[],"[""身份、银行、财务、社保、股权或授权资料必须确认权限和使用范围""]",P006-G018,"[""受限资料""]",泰昌商务补充文件,（四）法定代表人（单位负责人）权委托书,qualification_library,资信库资料
1,"[""视觉疑似重复""]",enterprise_evidence,企业证明材料,"[""优先核重""]",[],"[""查看原件并确认是新资产、重复资产或同一证据的不同载体""]",P006-G019,"[""企业内部资料""]",泰昌技术补充文件,未归入章节,product_library,产品库资料
1,"[""未发现重复，仍需审核""]",product_parameter_table,产品参数表,"[""优先结构化核验""]","[""电缆保护管通用""]","[""核对产品族、规格型号、参数值和原始表格，批准后仍须走结构化抽取""]",P006-G020,"[""企业内部资料""]",泰昌技术补充文件,（一）技术偏差表/1.技术偏差表,product_library,产品库资料
1,"[""未发现重复，仍需审核""]",project_performance,项目业绩,"[""核验原始证据""]",[],"[""确认资料归属泰昌、内容真实、时效有效、中文展示合规且目标库正确""]",P006-G021,"[""企业内部资料""]",泰昌技术补充文件,（二）专项投标文件/1.业绩文件/1.1.资格预审通知书,qualification_library,资信库资料
