ingestion_batch_id,province,batch_no,package_no,package_code,material_category,source_file,table_index,row_number,table_type,parameter_name,required_value,response_value,deviation_status,risk_level,decision_reason,suggested_action,row_data
customer_liaoning_taichang_20260606_p0,辽宁,2025-03,包1,2225AC,电缆保护管CPVC,rag_seed/power_grid_resources/01_tender_documents/22_国网辽宁电力2025年第三次物资协议库存招标采购/extracted/电缆保护管CPVC/包1_完整招标文件_53488484541066181/包1_技术规范书_53488481987137315/国家电网有限公司_电缆保护管 - 设备部(A171-500021527-00001)714025/国家电网有限公司_电缆保护管 - 设备部(A171-500021527-00001)/A171-500021527-00001 国家电网公司总部-配网标准化物资固化技术规范书-电缆保护管 CPVC.doc,1,4,dimension_parameter_table,公称内径 50,公称壁厚 / 氯化氯乙烯塑料电缆导管环刚度(3%)等级(80℃) / SN12: 4；公称长度: 6000,,pending_response,medium,存在项目需求值或标准值，但投标人响应值/保证值为空。,补充泰昌响应值、保证值或明确写入无偏差承诺后复核。,"{""公称内径"": ""50"", ""公称壁厚 / 氯化氯乙烯塑料电缆导管环刚度(3%)等级(80℃) / SN12"": ""4"", ""公称长度"": ""6000""}"
customer_liaoning_taichang_20260606_p0,辽宁,2025-03,包1,2225AC,电缆保护管CPVC,rag_seed/power_grid_resources/01_tender_documents/22_国网辽宁电力2025年第三次物资协议库存招标采购/extracted/电缆保护管CPVC/包1_完整招标文件_53488484541066181/包1_技术规范书_53488481987137315/国家电网有限公司_电缆保护管 - 设备部(A171-500021527-00001)714025/国家电网有限公司_电缆保护管 - 设备部(A171-500021527-00001)/A171-500021527-00001 国家电网公司总部-配网标准化物资固化技术规范书-电缆保护管 CPVC.doc,1,5,dimension_parameter_table,公称内径 100,公称壁厚 / 氯化氯乙烯塑料电缆导管环刚度(3%)等级(80℃) / SN12: 5；公称长度: 6000,,pending_response,medium,存在项目需求值或标准值，但投标人响应值/保证值为空。,补充泰昌响应值、保证值或明确写入无偏差承诺后复核。,"{""公称内径"": ""100"", ""公称壁厚 / 氯化氯乙烯塑料电缆导管环刚度(3%)等级(80℃) / SN12"": ""5"", ""公称长度"": ""6000""}"
customer_liaoning_taichang_20260606_p0,辽宁,2025-03,包1,2225AC,电缆保护管CPVC,rag_seed/power_grid_resources/01_tender_documents/22_国网辽宁电力2025年第三次物资协议库存招标采购/extracted/电缆保护管CPVC/包1_完整招标文件_53488484541066181/包1_技术规范书_53488481987137315/国家电网有限公司_电缆保护管 - 设备部(A171-500021527-00001)714025/国家电网有限公司_电缆保护管 - 设备部(A171-500021527-00001)/A171-500021527-00001 国家电网公司总部-配网标准化物资固化技术规范书-电缆保护管 CPVC.doc,1,6,dimension_parameter_table,公称内径 125,公称壁厚 / 氯化氯乙烯塑料电缆导管环刚度(3%)等级(80℃) / SN12: 6.5；公称长度: 6000,,pending_response,medium,存在项目需求值或标准值，但投标人响应值/保证值为空。,补充泰昌响应值、保证值或明确写入无偏差承诺后复核。,"{""公称内径"": ""125"", ""公称壁厚 / 氯化氯乙烯塑料电缆导管环刚度(3%)等级(80℃) / SN12"": ""6.5"", ""公称长度"": ""6000""}"
customer_liaoning_taichang_20260606_p0,辽宁,2025-03,包1,2225AC,电缆保护管CPVC,rag_seed/power_grid_resources/01_tender_documents/22_国网辽宁电力2025年第三次物资协议库存招标采购/extracted/电缆保护管CPVC/包1_完整招标文件_53488484541066181/包1_技术规范书_53488481987137315/国家电网有限公司_电缆保护管 - 设备部(A171-500021527-00001)714025/国家电网有限公司_电缆保护管 - 设备部(A171-500021527-00001)/A171-500021527-00001 国家电网公司总部-配网标准化物资固化技术规范书-电缆保护管 CPVC.doc,1,7,dimension_parameter_table,公称内径 150,公称壁厚 / 氯化氯乙烯塑料电缆导管环刚度(3%)等级(80℃) / SN12: 8；公称长度: 6000,,pending_response,medium,存在项目需求值或标准值，但投标人响应值/保证值为空。,补充泰昌响应值、保证值或明确写入无偏差承诺后复核。,"{""公称内径"": ""150"", ""公称壁厚 / 氯化氯乙烯塑料电缆导管环刚度(3%)等级(80℃) / SN12"": ""8"", ""公称长度"": ""6000""}"
customer_liaoning_taichang_20260606_p0,辽宁,2025-03,包1,2225AC,电缆保护管CPVC,rag_seed/power_grid_resources/01_tender_documents/22_国网辽宁电力2025年第三次物资协议库存招标采购/extracted/电缆保护管CPVC/包1_完整招标文件_53488484541066181/包1_技术规范书_53488481987137315/国家电网有限公司_电缆保护管 - 设备部(A171-500021527-00001)714025/国家电网有限公司_电缆保护管 - 设备部(A171-500021527-00001)/A171-500021527-00001 国家电网公司总部-配网标准化物资固化技术规范书-电缆保护管 CPVC.doc,1,8,dimension_parameter_table,公称内径 175,公称壁厚 / 氯化氯乙烯塑料电缆导管环刚度(3%)等级(80℃) / SN12: 9.5；公称长度: 6000,,pending_response,medium,存在项目需求值或标准值，但投标人响应值/保证值为空。,补充泰昌响应值、保证值或明确写入无偏差承诺后复核。,"{""公称内径"": ""175"", ""公称壁厚 / 氯化氯乙烯塑料电缆导管环刚度(3%)等级(80℃) / SN12"": ""9.5"", ""公称长度"": ""6000""}"
customer_liaoning_taichang_20260606_p0,辽宁,2025-03,包1,2225AC,电缆保护管CPVC,rag_seed/power_grid_resources/01_tender_documents/22_国网辽宁电力2025年第三次物资协议库存招标采购/extracted/电缆保护管CPVC/包1_完整招标文件_53488484541066181/包1_技术规范书_53488481987137315/国家电网有限公司_电缆保护管 - 设备部(A171-500021527-00001)714025/国家电网有限公司_电缆保护管 - 设备部(A171-500021527-00001)/A171-500021527-00001 国家电网公司总部-配网标准化物资固化技术规范书-电缆保护管 CPVC.doc,1,9,dimension_parameter_table,公称内径 200,公称壁厚 / 氯化氯乙烯塑料电缆导管环刚度(3%)等级(80℃) / SN12: 11；公称长度: 6000,,pending_response,medium,存在项目需求值或标准值，但投标人响应值/保证值为空。,补充泰昌响应值、保证值或明确写入无偏差承诺后复核。,"{""公称内径"": ""200"", ""公称壁厚 / 氯化氯乙烯塑料电缆导管环刚度(3%)等级(80℃) / SN12"": ""11"", ""公称长度"": ""6000""}"
customer_liaoning_taichang_20260606_p0,辽宁,2025-03,包1,2225AC,电缆保护管CPVC,rag_seed/power_grid_resources/01_tender_documents/22_国网辽宁电力2025年第三次物资协议库存招标采购/extracted/电缆保护管CPVC/包1_完整招标文件_53488484541066181/包1_技术规范书_53488481987137315/国家电网有限公司_电缆保护管 - 设备部(A171-500021527-00001)714025/国家电网有限公司_电缆保护管 - 设备部(A171-500021527-00001)/A171-500021527-00001 国家电网公司总部-配网标准化物资固化技术规范书-电缆保护管 CPVC.doc,1,10,dimension_parameter_table,公称内径 225,公称壁厚 / 氯化氯乙烯塑料电缆导管环刚度(3%)等级(80℃) / SN12: 12；公称长度: 6000,,pending_response,medium,存在项目需求值或标准值，但投标人响应值/保证值为空。,补充泰昌响应值、保证值或明确写入无偏差承诺后复核。,"{""公称内径"": ""225"", ""公称壁厚 / 氯化氯乙烯塑料电缆导管环刚度(3%)等级(80℃) / SN12"": ""12"", ""公称长度"": ""6000""}"
customer_liaoning_taichang_20260606_p0,辽宁,2025-03,包1,2225AC,电缆保护管CPVC,rag_seed/power_grid_resources/01_tender_documents/22_国网辽宁电力2025年第三次物资协议库存招标采购/extracted/电缆保护管CPVC/包1_完整招标文件_53488484541066181/包1_技术规范书_53488481987137315/国家电网有限公司_电缆保护管 - 设备部(A171-500021527-00001)714025/国家电网有限公司_电缆保护管 - 设备部(A171-500021527-00001)/A171-500021527-00001 国家电网公司总部-配网标准化物资固化技术规范书-电缆保护管 CPVC.doc,1,11,dimension_parameter_table,公称内径 250,公称壁厚 / 氯化氯乙烯塑料电缆导管环刚度(3%)等级(80℃) / SN12: 13；公称长度: 6000,,pending_response,medium,存在项目需求值或标准值，但投标人响应值/保证值为空。,补充泰昌响应值、保证值或明确写入无偏差承诺后复核。,"{""公称内径"": ""250"", ""公称壁厚 / 氯化氯乙烯塑料电缆导管环刚度(3%)等级(80℃) / SN12"": ""13"", ""公称长度"": ""6000""}"
customer_liaoning_taichang_20260606_p0,辽宁,2025-03,包1,2225AC,电缆保护管CPVC,rag_seed/power_grid_resources/01_tender_documents/22_国网辽宁电力2025年第三次物资协议库存招标采购/extracted/电缆保护管CPVC/包1_完整招标文件_53488484541066181/包1_技术规范书_53488481987137315/国家电网有限公司_电缆保护管 - 设备部(A171-500021527-00001)714025/国家电网有限公司_电缆保护管 - 设备部(A171-500021527-00001)/A171-500021527-00001 国家电网公司总部-配网标准化物资固化技术规范书-电缆保护管 CPVC.doc,1,12,dimension_parameter_table,公称内径 200（薄壁）,公称壁厚 / 氯化氯乙烯塑料电缆导管环刚度(3%)等级(80℃) / SN12: 5（预制化排管用）；公称长度: 6000,,pending_response,medium,存在项目需求值或标准值，但投标人响应值/保证值为空。,补充泰昌响应值、保证值或明确写入无偏差承诺后复核。,"{""公称内径"": ""200（薄壁）"", ""公称壁厚 / 氯化氯乙烯塑料电缆导管环刚度(3%)等级(80℃) / SN12"": ""5（预制化排管用）"", ""公称长度"": ""6000""}"
customer_liaoning_taichang_20260606_p0,辽宁,2025-03,包1,2225AC,电缆保护管CPVC,rag_seed/power_grid_resources/01_tender_documents/22_国网辽宁电力2025年第三次物资协议库存招标采购/extracted/电缆保护管CPVC/包1_完整招标文件_53488484541066181/包1_技术规范书_53488481987137315/国家电网有限公司_电缆保护管 - 设备部(A171-500021527-00001)714025/国家电网有限公司_电缆保护管 - 设备部(A171-500021527-00001)/A171-500021527-00001 国家电网公司总部-配网标准化物资固化技术规范书-电缆保护管 CPVC.doc,2,2,dimension_parameter_table,公称内径 50,公称内径允许偏差: +0.4；承口内径允许偏差: +0.4；承口最小深度: 60,,pending_response,medium,存在项目需求值或标准值，但投标人响应值/保证值为空。,补充泰昌响应值、保证值或明确写入无偏差承诺后复核。,"{""序号"": ""1"", ""公称内径"": ""50"", ""公称内径允许偏差"": ""+0.4"", ""承口内径允许偏差"": ""+0.4"", ""承口最小深度"": ""60""}"
