序号,章节,行号,占位内容,分类,优先级,责任方,处理动作,上下文
1,1. 投标函及投标函附录,19,具体天数,D-投标承诺期限/日期/响应时限,P0,商务+履约负责人,按招标文件要求和公司承诺口径确认后填写,规定的供货范围、技术标准、质量要求和交货期限，完成本项目所采购物资的生产、检验、包装、运输、交付及售后服务工作。  【（二）交货期承诺】  我方承诺在合同签订后【待补充：具体天数】日内具备交货条件，并严格按照招标文件及合同约定的交货进度完成供货。具体交货时间以招标人书面通知为准，我方保证按时足量交付。  【（三）质量目标承诺】  1. 我方承诺所提供的电缆保护管（MPP/CPV
2,1. 投标函及投标函附录,29,具体月数或年数,D-投标承诺期限/日期/响应时限,P0,商务+履约负责人,按招标文件要求和公司承诺口径确认后填写,质量稳定可靠。 3. 我方承诺产品一次检验合格率不低于98%，交付产品完好率100%。  【（四）质量保证期承诺】  我方承诺对所提供的产品提供自验收合格之日起【待补充：具体月数或年数】的质量保证期。在质保期内，因产品设计、材料、制造工艺等原因出现的任何质量问题，我方负责免费更换或维修，并承担由此产生的一切费用。  【（五）投标有效期】  本投标函及投标文件自提交之日起【待补充：具体
3,1. 投标函及投标函附录,33,具体天数，根据招标文件要求填写,D-投标承诺期限/日期/响应时限,P0,商务+履约负责人,按招标文件要求和公司承诺口径确认后填写,因产品设计、材料、制造工艺等原因出现的任何质量问题，我方负责免费更换或维修，并承担由此产生的一切费用。  【（五）投标有效期】  本投标函及投标文件自提交之日起【待补充：具体天数，根据招标文件要求填写】日内有效。  【（六）其他承诺】  1. 我方承诺已具备履行合同所需的财务、技术和生产供货能力，并严格按照招标文件及合同约定履行义务。 2. 我方承诺投标文件中提供的所有资质证书、业绩证明、人员资料、
4,1. 投标函及投标函附录,44,具体金额,A-最终报价/价格清单/商务金额,P0,商务报价负责人,依据最终报价表、分项价格表、税率和投标策略填写,. 我方理解并同意，招标人有权对违反本“投标函”承诺的投标人加大不良行为处理力度。  【（七）投标保证金】  我方已按照招标文件要求提交投标保证金，金额为人民币【待补充：具体金额】元（大写：【待补充：大写金额】元整），形式为【待补充：保证金形式，如银行保函、电汇等】。  【（八）法定代表人及授权代表】  法定代表人：晁坤琳   授权代表：【待补充：授权代理人姓名】  投标人全称
5,1. 投标函及投标函附录,44,大写金额,A-最终报价/价格清单/商务金额,P0,商务报价负责人,依据最终报价表、分项价格表、税率和投标策略填写,对违反本“投标函”承诺的投标人加大不良行为处理力度。  【（七）投标保证金】  我方已按照招标文件要求提交投标保证金，金额为人民币【待补充：具体金额】元（大写：【待补充：大写金额】元整），形式为【待补充：保证金形式，如银行保函、电汇等】。  【（八）法定代表人及授权代表】  法定代表人：晁坤琳   授权代表：【待补充：授权代理人姓名】  投标人全称：河北泰昌电力器材科技有限公司
6,1. 投标函及投标函附录,44,保证金形式，如银行保函、电汇等,B-保证金/银行账户资料,P0,财务/商务负责人,补充基本账户开户信息、保证金金额、形式、缴纳凭证或保函信息,不良行为处理力度。  【（七）投标保证金】  我方已按照招标文件要求提交投标保证金，金额为人民币【待补充：具体金额】元（大写：【待补充：大写金额】元整），形式为【待补充：保证金形式，如银行保函、电汇等】。  【（八）法定代表人及授权代表】  法定代表人：晁坤琳   授权代表：【待补充：授权代理人姓名】  投标人全称：河北泰昌电力器材科技有限公司（盖章）   法定代表人或其授权代表：（签字）  投标日
7,1. 投标函及投标函附录,49,授权代理人姓名,E-授权签章/联系人/人员姓名,P0,法务/授权经办人,补充最终授权代表、联系人、签字盖章和身份证明信息,元（大写：【待补充：大写金额】元整），形式为【待补充：保证金形式，如银行保函、电汇等】。  【（八）法定代表人及授权代表】  法定代表人：晁坤琳   授权代表：【待补充：授权代理人姓名】  投标人全称：河北泰昌电力器材科技有限公司（盖章）   法定代表人或其授权代表：（签字）  投标日期：【待补充：具体投标日期】  ---  【二、投标函附录】  【投标函附录表（响应性承诺一览表）】
8,1. 投标函及投标函附录,54,具体投标日期,D-投标承诺期限/日期/响应时限,P0,商务+履约负责人,按招标文件要求和公司承诺口径确认后填写,代表人：晁坤琳   授权代表：【待补充：授权代理人姓名】  投标人全称：河北泰昌电力器材科技有限公司（盖章）   法定代表人或其授权代表：（签字）  投标日期：【待补充：具体投标日期】  ---  【二、投标函附录】  【投标函附录表（响应性承诺一览表）】  | 序号 | 条款名称 | 招标文件要求 | 投标人承诺内容 | 备注 | |------|----------|-----
9,1. 投标函及投标函附录,64,最终投标总价、分项单价、数量和税率,A-最终报价/价格清单/商务金额,P0,商务报价负责人,依据最终报价表、分项价格表、税率和投标策略填写,------|--------------|----------------|------| | 1 | 投标报价 | 按招标文件规定的分项报价表格式填写 | 【待补充：最终投标总价、分项单价、数量和税率】 | 详见报价文件 | | 2 | 交货期 | 符合招标文件及合同约定 | 合同签订后【待补充：天数】日内具备交货条件 | 具体以招标人书面通知为准 | | 3 | 质量目标 | 符合国家标准、行业标
10,1. 投标函及投标函附录,65,天数,A-最终报价/价格清单/商务金额,P0,商务报价负责人,依据最终报价表、分项价格表、税率和投标策略填写,定的分项报价表格式填写 | 【待补充：最终投标总价、分项单价、数量和税率】 | 详见报价文件 | | 2 | 交货期 | 符合招标文件及合同约定 | 合同签订后【待补充：天数】日内具备交货条件 | 具体以招标人书面通知为准 | | 3 | 质量目标 | 符合国家标准、行业标准及技术规范 | 产品符合GB/T 19001-2016/ISO 9001:2015体系要求，一次检验
