candidate_id,bid_volume,record_type,chapter_id,chapter_level,chapter_number,title,form_name,source_file,source_section,source_page,source_page_end,origin_type,source_tender_file,source_clause,match_method,confidence,review_status,content_role,fact_kind,evidence_strength,parameter_value_type,applicable_product,applicable_material,report_or_certificate_no,validity_status,reuse_decision,quality_tier,allowed_for_bid,table_index,table_rows,table_columns,media_relationship_id,media_target,media_sha256,media_width,media_height,content_sha256,notes
business-fact-0001,business,fact_candidate,,,,历史项目招标编号 SL265A,,assets/template_words/商务补充文件.docx,未归入章节,1,1,uncertain,assets/template_words/包1_完整招标文件_92475576192439826/SL2655招标文件-预审.docx,,none,0.2,needs_manual_review,泰昌可复用企业事实,project_identifier,historical_document_text,not_a_parameter_value,[],"[""物资类通用""]",SL265A,project_conflict_check_required,project_specific_do_not_reuse,review_only,false,,,,,,,,,1da507cb8ca761d8e60d300c90d82705f6b7d5fdcecbced2456de38fa79e2b3c,项目专属字段；生成新标书时必须由本次招标文件覆盖
business-media-0001,business,media,,,,历史标书内嵌媒体,,assets/template_words/商务补充文件.docx,未归入章节,1,1,uncertain,assets/template_words/包1_完整招标文件_92475576192439826/SL2655招标文件-预审.docx,,none,0.2,needs_manual_review,泰昌可复用企业事实,,,,,"[""物资类通用""]",,needs_review,inventory_only_needs_original_evidence_or_manual_promotion,review_only,false,,,,rId9,word/media/image1.png,da2418eb84c5b466c62f92b2c08defbee1aa3eb16f09ef3d414132378b0987b2,173,90,da2418eb84c5b466c62f92b2c08defbee1aa3eb16f09ef3d414132378b0987b2,Word内嵌媒体未导出；不得直接提升为正式图片资产
business-chapter-001,business,chapter,business-chapter-001,1,（一）,（一）商务偏差表,（一）商务偏差表,assets/template_words/商务补充文件.docx,（一）商务偏差表,4,4,tender_mandated,assets/template_words/包1_完整招标文件_92475576192439826/SL2655招标文件-预审.docx,商务偏差表,normalized_exact,0.98,source_matched,项目专属响应/承诺/偏差,,,,,"[""物资类通用""]",,needs_review,historical_reference_skeleton_candidate,review_only,false,,,,,,,,,480cc2fc9f42798aa18e3276a743827cd6ac6dae39bee2e701d5f17cccdb7644,
business-chapter-002,business,chapter,business-chapter-002,2,1.,1.商务偏差表,1.商务偏差表,assets/template_words/商务补充文件.docx,（一）商务偏差表 / 1.商务偏差表,4,4,tender_mandated,assets/template_words/包1_完整招标文件_92475576192439826/SL2655招标文件-预审.docx,商务偏差表,normalized_exact,0.98,source_matched,项目专属响应/承诺/偏差,,,,,"[""物资类通用""]",,needs_review,historical_reference_skeleton_candidate,review_only,false,,,,,,,,,d8f19a7957937dcb1e8b59fca468cf96440d4a68851e5f0ecd9fe74c6b60078c,
business-fact-0002,business,fact_candidate,business-chapter-002,2,1.,历史项目招标编号 SL265,,assets/template_words/商务补充文件.docx,（一）商务偏差表 / 1.商务偏差表,4,4,tender_mandated,assets/template_words/包1_完整招标文件_92475576192439826/SL2655招标文件-预审.docx,商务偏差表,normalized_exact,0.98,source_matched,泰昌可复用企业事实,project_identifier,historical_document_text,not_a_parameter_value,"[""架空绝缘导线""]","[""架空绝缘导线""]",SL265,project_conflict_check_required,project_specific_do_not_reuse,review_only,false,,,,,,,,,738feab51fe7e166450efd6b11cc5871ec72e2ba8f1234721608c3582c2b4a70,项目专属字段；生成新标书时必须由本次招标文件覆盖
business-fact-0003,business,fact_candidate,business-chapter-002,2,1.,历史项目招标编号 SL265A,,assets/template_words/商务补充文件.docx,（一）商务偏差表 / 1.商务偏差表,4,4,tender_mandated,assets/template_words/包1_完整招标文件_92475576192439826/SL2655招标文件-预审.docx,商务偏差表,normalized_exact,0.98,source_matched,泰昌可复用企业事实,project_identifier,historical_document_text,not_a_parameter_value,"[""架空绝缘导线""]","[""架空绝缘导线""]",SL265A,project_conflict_check_required,project_specific_do_not_reuse,review_only,false,,,,,,,,,1da507cb8ca761d8e60d300c90d82705f6b7d5fdcecbced2456de38fa79e2b3c,项目专属字段；生成新标书时必须由本次招标文件覆盖
business-fact-0004,business,fact_candidate,business-chapter-002,2,1.,候选产品规格 200,,assets/template_words/商务补充文件.docx,（一）商务偏差表 / 1.商务偏差表,4,4,tender_mandated,assets/template_words/包1_完整招标文件_92475576192439826/SL2655招标文件-预审.docx,商务偏差表,normalized_exact,0.98,source_matched,产品事实与结构化参数,candidate_product_spec,historical_product_list_only,product_list_specification,"[""架空绝缘导线""]","[""架空绝缘导线""]",200,coverage_unconfirmed,verify_report_and_current_goods_list_coverage,review_only,false,,,,,,,,,1e0dbd60795ef883369a0e31cb3f16ad10beca7cfe04248e2b9c2bacdff0ddef,产品清单规格不等于该规格已有检验报告支持
business-table-001,business,table,business-chapter-002,2,1.,1.商务偏差表,1.商务偏差表,assets/template_words/商务补充文件.docx,（一）商务偏差表 / 1.商务偏差表,4,4,tender_mandated,assets/template_words/包1_完整招标文件_92475576192439826/SL2655招标文件-预审.docx,商务偏差表,normalized_exact,0.98,source_matched,项目专属响应/承诺/偏差,,,,,"[""物资类通用""]",,needs_review,preserve_structure_review_before_reuse,review_only,false,1,3,5,,,,,,cefbf75600552a5e86855f9a83fbc710ad53fd6fa2b24cd73b681b6e609ff052,首行：序号 | 招标文件条目号 | 招标文件条款 | 投标文件条款 | 偏差说明
business-chapter-003,business,chapter,business-chapter-003,1,（二）,（二）投标保证保险,（二）投标保证保险,assets/template_words/商务补充文件.docx,（二）投标保证保险,5,5,tender_conditional,assets/template_words/包1_完整招标文件_92475576192439826/SL2655招标文件-预审.docx,（二）投标保证保险（如有，则需上传。投标工具路径：商务文件-按钮“商务部分”-按钮“维护商务部分”-“商务部分（附加）”端口）（本批次不适用）,normalized_contains,0.87,source_matched,项目专属响应/承诺/偏差,,,,,"[""物资类通用""]",,needs_review,historical_reference_skeleton_candidate,review_only,false,,,,,,,,,6dd4111f8e50c39962ac1ae8be54be614b7f455226037459648e62808ee40b61,
business-chapter-004,business,chapter,business-chapter-004,1,(三),(三)补充文件,,assets/template_words/商务补充文件.docx,(三)补充文件,6,6,tender_mandated,assets/template_words/包1_完整招标文件_92475576192439826/SL2655招标文件-预审.docx,补充文件,normalized_exact,0.98,source_matched,泰昌可复用企业事实,,,,,"[""物资类通用""]",,needs_review,historical_reference_skeleton_candidate,review_only,false,,,,,,,,,d85095238fa9b3fe729c9342aee24f742af3912b7ca93af9081f14f57e7831a5,
