candidate_id,dedup_status_label,disposition,evidence_type_label,ready_for_ingestion,reason,source_document_name,source_page,source_section,title
business-chapter-001,未发现重复，仍需审核,保留历史参考,历史目录结构参考,False,章节或表单只用于历史结构对照，不属于泰昌企业事实资产,泰昌商务补充文件,4,（一）商务偏差表,泰昌商务标历史目录参考：商务偏差表
business-chapter-002,未发现重复，仍需审核,保留历史参考,历史目录结构参考,False,章节或表单只用于历史结构对照，不属于泰昌企业事实资产,泰昌商务补充文件,4,（一）商务偏差表/1.商务偏差表,泰昌商务标历史目录参考：商务偏差表/1.商务偏差表
business-chapter-003,未发现重复，仍需审核,保留历史参考,历史目录结构参考,False,章节或表单只用于历史结构对照，不属于泰昌企业事实资产,泰昌商务补充文件,5,（二）投标保证保险,泰昌商务标历史目录参考：投标保证保险
business-chapter-004,未发现重复，仍需审核,保留历史参考,历史目录结构参考,False,章节或表单只用于历史结构对照，不属于泰昌企业事实资产,泰昌商务补充文件,6,(三)补充文件,泰昌商务标历史目录参考：补充文件
business-chapter-005,未发现重复，仍需审核,保留历史参考,历史目录结构参考,False,章节或表单只用于历史结构对照，不属于泰昌企业事实资产,泰昌商务补充文件,6,(三)补充文件/1.投标保证金,泰昌商务标历史目录参考：补充文件/1.投标保证金
business-chapter-006,未发现重复，仍需审核,保留历史参考,历史目录结构参考,False,章节或表单只用于历史结构对照，不属于泰昌企业事实资产,泰昌商务补充文件,7,(三)补充文件/2.投标人情况,泰昌商务标历史目录参考：补充文件/2.投标人情况
business-chapter-007,未发现重复，仍需审核,保留历史参考,历史目录结构参考,False,章节或表单只用于历史结构对照，不属于泰昌企业事实资产,泰昌商务补充文件,7,(三)补充文件/2.投标人情况/2.1.投标人与国家电网公司系统人员关系说明,泰昌商务标历史目录参考：补充文件/2.投标人情况/2.1.投标人与国家电网公司系统人员关系说明
business-chapter-008,未发现重复，仍需审核,保留历史参考,历史目录结构参考,False,章节或表单只用于历史结构对照，不属于泰昌企业事实资产,泰昌商务补充文件,8,(三)补充文件/2.投标人情况/2.2投标人基本情况表,泰昌商务标历史目录参考：补充文件/2.投标人情况/2.2投标人基本情况表
business-chapter-009,未发现重复，仍需审核,保留历史参考,历史目录结构参考,False,章节或表单只用于历史结构对照，不属于泰昌企业事实资产,泰昌商务补充文件,9,(三)补充文件/2.投标人情况/附：国家企业信用信息公示系统（http://www.gsxt.gov.cn）查询的股东（企业或自然人）名称及详细出资情况截图,泰昌商务标历史目录参考：补充文件/2.投标人情况/附：国家企业信用信息公示系统（http://www.gsxt.gov.cn）查询的股东（企业或自然人）名称及详细出资情况截图
business-chapter-010,未发现重复，仍需审核,保留历史参考,历史目录结构参考,False,章节或表单只用于历史结构对照，不属于泰昌企业事实资产,泰昌商务补充文件,10,(三)补充文件/2.投标人情况/附：股权证明材料,泰昌商务标历史目录参考：补充文件/2.投标人情况/附：股权证明材料
business-chapter-011,未发现重复，仍需审核,保留历史参考,历史目录结构参考,False,章节或表单只用于历史结构对照，不属于泰昌企业事实资产,泰昌商务补充文件,11,(三)补充文件/3.企业法人营业执照,泰昌商务标历史目录参考：补充文件/3.企业法人营业执照
business-chapter-012,未发现重复，仍需审核,保留历史参考,历史目录结构参考,False,章节或表单只用于历史结构对照，不属于泰昌企业事实资产,泰昌商务补充文件,12,(三)补充文件/4.有效的税务登记证明,泰昌商务标历史目录参考：补充文件/4.有效的税务登记证明
business-chapter-013,未发现重复，仍需审核,保留历史参考,历史目录结构参考,False,章节或表单只用于历史结构对照，不属于泰昌企业事实资产,泰昌商务补充文件,13,(三)补充文件/5.符合招标文件投标人资格要求的证明文件,泰昌商务标历史目录参考：补充文件/5.符合招标文件投标人资格要求的证明文件
business-chapter-014,未发现重复，仍需审核,保留历史参考,历史目录结构参考,False,章节或表单只用于历史结构对照，不属于泰昌企业事实资产,泰昌商务补充文件,13,(三)补充文件/5.符合招标文件投标人资格要求的证明文件/5.1.符合投标邀请书投标人资格要求的证明文件（更新或补充）,泰昌商务标历史目录参考：补充文件/5.符合招标文件投标人资格要求的证明文件/5.1.符合投标邀请书投标人资格要求的证明文件（更新或补充）
business-chapter-015,未发现重复，仍需审核,保留历史参考,历史目录结构参考,False,章节或表单只用于历史结构对照，不属于泰昌企业事实资产,泰昌商务补充文件,13,(三)补充文件/5.符合招标文件投标人资格要求的证明文件/5.1.符合投标邀请书投标人资格要求的证明文件（更新或补充）/5.1.1.资格预审结果通知书,泰昌商务标历史目录参考：补充文件/5.符合招标文件投标人资格要求的证明文件/5.1.符合投标邀请书投标人资格要求的证明文件（更新或补充）/5.1.1.资格预审结果通知书
business-chapter-016,未发现重复，仍需审核,保留历史参考,历史目录结构参考,False,章节或表单只用于历史结构对照，不属于泰昌企业事实资产,泰昌商务补充文件,14,(三)补充文件/5.符合招标文件投标人资格要求的证明文件/5.1.符合投标邀请书投标人资格要求的证明文件（更新或补充）/5.1.2.资质业绩凭证单,泰昌商务标历史目录参考：补充文件/5.符合招标文件投标人资格要求的证明文件/5.1.符合投标邀请书投标人资格要求的证明文件（更新或补充）/5.1.2.资质业绩凭证单
