enterprise,source_domain,source_role,fact_source_allowed_for_enterprise,allowed_for_bid,parameter_fact_allowed,requires_original_evidence,source_file,source_file_sha256,source_table_id,source_table_index,source_row_number,source_page,source_section,raw_name,raw_unit,normalized_unit,unit_conversion_performed,requirement_raw,guarantee_raw,numeric_value,nominal_designation_raw,product_family,value_status,fact_status,material_code,material_description,quantity_raw,quantity_unit,quantity_numeric,manufacturer_raw,existing_report_cross_check_scope
河北泰昌电力器材科技有限公司,mixed_historical_bid,mixed_historical_bid_placeholder,False,False,False,True,assets/template_words/技术补充文件.docx,2dd987a9742f92b8d81f3c490ce40958ceb7f664d823af17c300f755a030d80d,technical-table-002,2,4,7,（二）专项投标文件 / 2.技术特性参数表,,,,False,,泰昌电力公司 完全响应 本技术规范要求，提供的产品和方案按照国家标准执行，完全符合招标文件要求，满足招标人的需求。,,,1kV架空绝缘导线（新疆历史项目）,generic_response_or_blank,not_a_parameter_fact,,,,,,,
河北泰昌电力器材科技有限公司,mixed_historical_bid,mixed_historical_bid_placeholder,False,False,False,True,assets/template_words/技术补充文件.docx,2dd987a9742f92b8d81f3c490ce40958ceb7f664d823af17c300f755a030d80d,technical-table-002,2,5,7,（二）专项投标文件 / 2.技术特性参数表,,,,False,,,,,1kV架空绝缘导线（新疆历史项目）,generic_response_or_blank,not_a_parameter_fact,,,,,,,
河北泰昌电力器材科技有限公司,mixed_historical_bid,mixed_historical_bid_placeholder,False,False,False,True,assets/template_words/技术补充文件.docx,2dd987a9742f92b8d81f3c490ce40958ceb7f664d823af17c300f755a030d80d,technical-table-002,2,6,7,（二）专项投标文件 / 2.技术特性参数表,,,,False,,,,,1kV架空绝缘导线（新疆历史项目）,generic_response_or_blank,not_a_parameter_fact,,,,,,,
河北泰昌电力器材科技有限公司,mixed_historical_bid,historical_project_requirement,False,False,False,True,assets/template_words/技术补充文件.docx,2dd987a9742f92b8d81f3c490ce40958ceb7f664d823af17c300f755a030d80d,technical-table-004,4,2,9,（二）专项投标文件 / 2.技术特性参数表 / （G004-500013634-00006）,公称通径,DN,DN,False,"复合材料管-材质:PVC,公称通径:DN32",,32,DN32,PVC复合材料管,historical_tender_material_requirement,not_taichang_enterprise_fact,500013634,"复合材料管,PVC,DN32",,,,,
河北泰昌电力器材科技有限公司,mixed_historical_bid,historical_project_requirement,False,False,False,True,assets/template_words/技术补充文件.docx,2dd987a9742f92b8d81f3c490ce40958ceb7f664d823af17c300f755a030d80d,technical-table-004,4,3,9,（二）专项投标文件 / 2.技术特性参数表 / （G004-500013634-00006）,公称通径,DN,DN,False,"复合材料管-材质:PVC,公称通径:DN50",,50,DN50,PVC复合材料管,historical_tender_material_requirement,not_taichang_enterprise_fact,500013631,"复合材料管,PVC,DN50",,,,,
河北泰昌电力器材科技有限公司,mixed_historical_bid,historical_project_requirement,False,False,False,True,assets/template_words/技术补充文件.docx,2dd987a9742f92b8d81f3c490ce40958ceb7f664d823af17c300f755a030d80d,technical-table-004,4,4,9,（二）专项投标文件 / 2.技术特性参数表 / （G004-500013634-00006）,公称通径,DN,DN,False,"复合材料管-材质:PVC,公称通径:DN75",,75,DN75,PVC复合材料管,historical_tender_material_requirement,not_taichang_enterprise_fact,500013641,"复合材料管,PVC,DN75",,,,,
河北泰昌电力器材科技有限公司,mixed_historical_bid,historical_project_requirement,False,False,False,True,assets/template_words/技术补充文件.docx,2dd987a9742f92b8d81f3c490ce40958ceb7f664d823af17c300f755a030d80d,technical-table-004,4,5,9,（二）专项投标文件 / 2.技术特性参数表 / （G004-500013634-00006）,公称通径,DN,DN,False,"复合材料管-材质:PVC, 公称通径:DN110",,110,DN110,PVC复合材料管,historical_tender_material_requirement,not_taichang_enterprise_fact,500013640,"复合材料 管,PVC,DN110",,,,,
河北泰昌电力器材科技有限公司,mixed_historical_bid,historical_project_requirement,False,False,False,True,assets/template_words/技术补充文件.docx,2dd987a9742f92b8d81f3c490ce40958ceb7f664d823af17c300f755a030d80d,technical-table-004,4,6,9,（二）专项投标文件 / 2.技术特性参数表 / （G004-500013634-00006）,公称通径,DN,DN,False,"复合材料管-材质:PVC,公称通径:DN150",,150,DN150,PVC复合材料管,historical_tender_material_requirement,not_taichang_enterprise_fact,500013641,"复合材料管,PVC,DN150",,,,,
河北泰昌电力器材科技有限公司,mixed_historical_bid,historical_bid_claim,False,False,False,True,assets/template_words/技术补充文件.docx,2dd987a9742f92b8d81f3c490ce40958ceb7f664d823af17c300f755a030d80d,technical-table-006,6,2,310,（二）专项投标文件 / 7.技术服务，包括培训、安装指导等 / 7.3.备品备件,型号和规格,φ,φ,False,"电缆保护管, MPP,φ50","电缆保护管, MPP,φ50",50,φ50,MPP电缆保护管,historical_enterprise_claim,unverified_historical_claim,,,以实际数量为准,米,,河北泰昌电力器材科技有限公司,none
河北泰昌电力器材科技有限公司,mixed_historical_bid,historical_bid_claim,False,False,False,True,assets/template_words/技术补充文件.docx,2dd987a9742f92b8d81f3c490ce40958ceb7f664d823af17c300f755a030d80d,technical-table-006,6,3,310,（二）专项投标文件 / 7.技术服务，包括培训、安装指导等 / 7.3.备品备件,型号和规格,φ,φ,False,"电缆保护管,MPP,φ250","电缆保护管,MPP,φ250",250,φ250,MPP电缆保护管,historical_enterprise_claim,partial_match_existing_inspection_report,,,以实际数量为准,米,,河北泰昌电力器材科技有限公司,product_family_and_nominal_designation_only
