title,category,doc_type,source_org,source_url,file_path,tags,downloaded_at,sha256,status,error
中华人民共和国招标投标法实施条例,02_policy_regulations,法律法规,中国政府网/国务院公报,https://www.gov.cn/gongbao/content/2019/content_5468831.htm,02_policy_regulations/01_中华人民共和国招标投标法实施条例_14eac545.md,"招标投标,工程建设,法律法规",2026-04-28T06:20:41.015032+00:00,1080c8c40716ef04a273b66f977c8a7bbf19b5ed5e1cb3d3ae2cec9266311f8c,downloaded,
水利工程建设项目招标投标管理规定,02_policy_regulations,部门规章,中国政府网/国务院公报,https://www.gov.cn/gongbao/content/2002/content_61624.htm,02_policy_regulations/02_水利工程建设项目招标投标管理规定_c7a57ff4.md,"水利工程,招标投标,施工,监理,材料设备",2026-04-28T06:20:41.015032+00:00,25e03f1581115bdaf5a79d4c11465e9afe7e1382cf5d013bde6cd1566a09c418,downloaded,
水利工程建设项目管理规定试行,02_policy_regulations,部门规章,中国政府网/水利部,https://www.gov.cn/zhengce/1995-04/21/content_5712333.htm,02_policy_regulations/03_水利工程建设项目管理规定试行_f895df72.md,"水利工程,项目管理,建设程序",2026-04-28T06:20:41.015032+00:00,4baf0ceeb6293e40ce8939b0258894de2e57ef1fe33a5456ffec7ab5f1b2d52e,downloaded,
水利工程建设项目验收管理规定,02_policy_regulations,部门规章,中国政府网/水利部,https://www.gov.cn/zhengce/2006-12/18/content_5712309.htm,02_policy_regulations/04_水利工程建设项目验收管理规定_83312564.md,"水利工程,验收,法人验收,政府验收",2026-04-28T06:20:41.015032+00:00,ca4dbdc2d92028e6ed1e3638aeb866b5e5ae9188065e139f8e2da1b9021d0615,downloaded,
水利工程质量管理规定,02_policy_regulations,部门规章,中国政府网/国务院公报,https://www.gov.cn/gongbao/content/2023/content_5743637.htm,02_policy_regulations/05_水利工程质量管理规定_cdf23fc5.md,"水利工程,质量管理,质量责任",2026-04-28T06:20:41.015032+00:00,4e6a5b64d166b5547fe75f0de9cc6ecc664f0c16102e5cf608903e4913745298,downloaded,
水利工程质量事故处理规定,02_policy_regulations,部门规章,中国政府网/水利部,https://www.gov.cn/zhengce/202412/content_6991025.htm,02_policy_regulations/06_水利工程质量事故处理规定_676c97ba.md,"水利工程,质量事故,事故处理",2026-04-28T06:20:41.015032+00:00,901ea2044452481ec4e8c895a5950c4f06523d47eebbf93f10ab07686599efdb,downloaded,
水利建设市场经营主体信用信息管理办法,02_policy_regulations,规范性文件,中国政府网/国务院公报,https://www.gov.cn/gongbao/2024/issue_11606/202409/content_6976921.html,02_policy_regulations/07_水利建设市场经营主体信用信息管理办法_7d9781e7.md,"水利建设市场,信用信息,全国水利监管平台",2026-04-28T06:20:41.015032+00:00,c86048f5250ee61ae1e705fbe127268e00deb087330f602cc5a55ce13db0cbfd,downloaded,
水利工程建设安全生产管理规定,02_policy_regulations,部门规章,福建省水利厅转载水利部,https://slt.fj.gov.cn/xxgk/fggw/slbyqtbwgz/202103/t20210302_5542929.htm,02_policy_regulations/08_水利工程建设安全生产管理规定_b29fc94a.md,"水利工程,安全生产,施工安全",2026-04-28T06:20:41.015032+00:00,05f0d4abf323dc1c9ea68a624104271052b0dc7117e6fa4f0b8a96237e6681e9,downloaded,
板芙镇蚙蜞塘水库除险加固工程招标文件提前公示,01_tender_documents,招标文件公示页面,中山市公共资源交易平台,https://www.zsjypt.cn/artical/210/243404,01_tender_documents/09_板芙镇蚙蜞塘水库除险加固工程招标文件提前公示_3bc42ac6.md,"水库除险加固,水利工程,招标文件公示",2026-04-28T06:20:41.015032+00:00,6b8cff446763b83ccb057af9016cbd20e8030086d60d65ab5fded617d4ea1bac,downloaded,
桃江县花果山等19座小型水库除险加固工程项目五六标段,01_tender_documents,招标公告及附件页面,益阳市公共资源交易中心,https://jyzx.yiyang.gov.cn/ggzyjy/31065/31081/31110/31117/37918/content_1912637.html,01_tender_documents/10_桃江县花果山等19座小型水库除险加固工程项目五六标段_db97c144.md,"水库除险加固,小型水库,招标文件,工程量清单",2026-04-28T06:20:41.015032+00:00,7eed375fb58c6c5eaee91a069dc8b43968bc56c3fc278a36cdae53dd2dbba5c5,downloaded,
汨罗市黄金水库等16座小型水库除险加固工程总承包EPC,01_tender_documents,招标公告,汨罗市人民政府,https://www.miluo.gov.cn/25221/25242/25243/content_2228827.html,01_tender_documents/11_汨罗市黄金水库等16座小型水库除险加固工程总承包EPC_53822cb8.md,"水库除险加固,EPC,资格后审,综合评估法",2026-04-28T06:20:41.015032+00:00,580033973351b9db1925ee492acaa675569d6abbe9e3a35a8e3a7a4771ebca10,downloaded,
汨罗市2025年度青坑水库等10座小型水库除险加固工程总承包,01_tender_documents,招标公告,汨罗市人民政府,https://www.miluo.gov.cn/25308/27701/27714/27937/31074/content_2269303.html,01_tender_documents/12_汨罗市2025年度青坑水库等10座小型水库除险加固工程总承包_a99a2071.md,"水库除险加固,EPC,水利发展资金",2026-04-28T06:20:41.015032+00:00,0666cba82ddd76caa3cc9da2db3fb2f8d99ed4b0008f8a92954a427f3fce3747,downloaded,
