candidate_id,bid_volume,record_type,chapter_id,chapter_level,chapter_number,title,form_name,source_file,source_section,source_page,source_page_end,origin_type,source_tender_file,source_clause,match_method,confidence,review_status,content_role,fact_kind,evidence_strength,parameter_value_type,applicable_product,applicable_material,report_or_certificate_no,validity_status,reuse_decision,quality_tier,allowed_for_bid,table_index,table_rows,table_columns,media_relationship_id,media_target,media_sha256,media_width,media_height,content_sha256,notes
technical-fact-0001,technical,fact_candidate,,,,历史项目招标编号 SL265A,,assets/template_words/技术补充文件.docx,未归入章节,1,1,uncertain,assets/template_words/包1_完整招标文件_92475576192439826/SL2655招标文件-预审.docx,,none,0.2,needs_manual_review,泰昌历史编制内容候选,project_identifier,historical_document_text,not_a_parameter_value,[],"[""物资类通用""]",SL265A,project_conflict_check_required,project_specific_do_not_reuse,review_only,false,,,,,,,,,1da507cb8ca761d8e60d300c90d82705f6b7d5fdcecbced2456de38fa79e2b3c,项目专属字段；生成新标书时必须由本次招标文件覆盖
technical-media-0001,technical,media,,,,历史标书内嵌媒体,,assets/template_words/技术补充文件.docx,未归入章节,1,1,uncertain,assets/template_words/包1_完整招标文件_92475576192439826/SL2655招标文件-预审.docx,,none,0.2,needs_manual_review,泰昌历史编制内容候选,,,,,"[""物资类通用""]",,needs_review,inventory_only_needs_original_evidence_or_manual_promotion,review_only,false,,,,rId9,word/media/image1.png,da2418eb84c5b466c62f92b2c08defbee1aa3eb16f09ef3d414132378b0987b2,173,90,da2418eb84c5b466c62f92b2c08defbee1aa3eb16f09ef3d414132378b0987b2,Word内嵌媒体未导出；不得直接提升为正式图片资产
technical-chapter-001,technical,chapter,technical-chapter-001,1,（一）,（一）技术偏差表,（一）技术偏差表,assets/template_words/技术补充文件.docx,（一）技术偏差表,4,4,tender_mandated,assets/template_words/包1_完整招标文件_92475576192439826/SL2655招标文件-预审.docx,技术偏差表,normalized_exact,0.98,source_matched,项目专属响应/承诺/偏差,,,,,"[""物资类通用""]",,needs_review,historical_reference_skeleton_candidate,review_only,false,,,,,,,,,161966403baa284ec56931c415cfe5e681336f94316c32e4c3d02d90629d3960,
technical-chapter-002,technical,chapter,technical-chapter-002,2,1.,1.技术偏差表,1.技术偏差表,assets/template_words/技术补充文件.docx,（一）技术偏差表 / 1.技术偏差表,4,4,tender_mandated,assets/template_words/包1_完整招标文件_92475576192439826/SL2655招标文件-预审.docx,技术偏差表,normalized_exact,0.98,source_matched,项目专属响应/承诺/偏差,,,,,"[""物资类通用""]",,needs_review,historical_reference_skeleton_candidate,review_only,false,,,,,,,,,32230dba9a14b3f20aacc1c9a9727fcc6160090923f1c304600ebc4ce09e6423,
technical-fact-0002,technical,fact_candidate,technical-chapter-002,2,1.,历史项目招标编号 SL265,,assets/template_words/技术补充文件.docx,（一）技术偏差表 / 1.技术偏差表,4,4,tender_mandated,assets/template_words/包1_完整招标文件_92475576192439826/SL2655招标文件-预审.docx,技术偏差表,normalized_exact,0.98,source_matched,泰昌历史编制内容候选,project_identifier,historical_document_text,not_a_parameter_value,"[""架空绝缘导线""]","[""架空绝缘导线""]",SL265,project_conflict_check_required,project_specific_do_not_reuse,review_only,false,,,,,,,,,738feab51fe7e166450efd6b11cc5871ec72e2ba8f1234721608c3582c2b4a70,项目专属字段；生成新标书时必须由本次招标文件覆盖
technical-fact-0003,technical,fact_candidate,technical-chapter-002,2,1.,历史项目招标编号 SL265A,,assets/template_words/技术补充文件.docx,（一）技术偏差表 / 1.技术偏差表,4,4,tender_mandated,assets/template_words/包1_完整招标文件_92475576192439826/SL2655招标文件-预审.docx,技术偏差表,normalized_exact,0.98,source_matched,泰昌历史编制内容候选,project_identifier,historical_document_text,not_a_parameter_value,"[""架空绝缘导线""]","[""架空绝缘导线""]",SL265A,project_conflict_check_required,project_specific_do_not_reuse,review_only,false,,,,,,,,,1da507cb8ca761d8e60d300c90d82705f6b7d5fdcecbced2456de38fa79e2b3c,项目专属字段；生成新标书时必须由本次招标文件覆盖
technical-fact-0004,technical,fact_candidate,technical-chapter-002,2,1.,候选产品规格 200,,assets/template_words/技术补充文件.docx,（一）技术偏差表 / 1.技术偏差表,4,4,tender_mandated,assets/template_words/包1_完整招标文件_92475576192439826/SL2655招标文件-预审.docx,技术偏差表,normalized_exact,0.98,source_matched,产品事实与结构化参数,candidate_product_spec,historical_product_list_only,product_list_specification,"[""架空绝缘导线""]","[""架空绝缘导线""]",200,coverage_unconfirmed,verify_report_and_current_goods_list_coverage,review_only,false,,,,,,,,,1e0dbd60795ef883369a0e31cb3f16ad10beca7cfe04248e2b9c2bacdff0ddef,产品清单规格不等于该规格已有检验报告支持
technical-table-001,technical,table,technical-chapter-002,2,1.,1.技术偏差表,1.技术偏差表,assets/template_words/技术补充文件.docx,（一）技术偏差表 / 1.技术偏差表,4,4,tender_mandated,assets/template_words/包1_完整招标文件_92475576192439826/SL2655招标文件-预审.docx,技术偏差表,normalized_exact,0.98,source_matched,项目专属响应/承诺/偏差,,,,,"[""物资类通用""]",,needs_review,preserve_structure_review_before_reuse,review_only,false,1,4,5,,,,,,900f2c33ae86c7da7111bb86b3b13f4f0930bd34271afa904056c87159b9b531,首行：序号 | 偏差事项 | 招标文件要求 | 投标文件响应 | 偏差说明
technical-chapter-003,technical,chapter,technical-chapter-003,1,（二）,（二）专项投标文件,,assets/template_words/技术补充文件.docx,（二）专项投标文件,5,5,tender_mandated,assets/template_words/包1_完整招标文件_92475576192439826/SL2655招标文件-预审.docx,专项投标文件,normalized_exact,0.98,source_matched,泰昌历史编制内容候选,,,,,"[""物资类通用""]",,needs_review,historical_reference_skeleton_candidate,review_only,false,,,,,,,,,59478a79ce1fa94919b44c147d813e5dbf02662dc9dbcef22807b3e2d5abbfe5,
technical-chapter-004,technical,chapter,technical-chapter-004,2,1.,1.业绩文件,,assets/template_words/技术补充文件.docx,（二）专项投标文件 / 1.业绩文件,5,5,tender_mandated,assets/template_words/包1_完整招标文件_92475576192439826/SL2655招标文件-预审.docx,业绩文件,normalized_exact,0.98,source_matched,泰昌历史编制内容候选,,,,,"[""物资类通用""]",,needs_review,historical_reference_skeleton_candidate,review_only,false,,,,,,,,,25cf18807d7ab589d998e7d739f1e8e9c41b5883b5a26859f758db8e2b13a33f,
