candidate_id,title_after_ingestion,source_group_title,source_page,evidence_type_label,actual_media_sha256,extracted_path,dedup_disposition,dedup_reason,matched_existing_asset_ids,quality,nearest_visual_match,ready_for_database_ingestion
technical-media-0005,泰昌电缆保护管MPP工艺流程知识资料第001项,电缆保护管MPP工艺流程,19,企业证明材料,99db87ea295d372313af2af157652c8408e15dcb2a0409f4d2bfbce008e3ae04,parsed_outputs/power_grid_customer_corpus/customer_taichang_historical_bid_20260713/p1_01_knowledge_assets/泰昌电缆保护管MPP工艺流程知识资料第001项.jpeg,quality_review_required,图片存在空白页、小图或低信息量风险，保留提取文件并转人工复核,[],"{""valid"": true, ""file_size"": 114660, ""width"": 1269, ""height"": 1795, ""gray_mean"": 252.5778, ""gray_stddev"": 12.9686, ""white_ratio"": 0.956436, ""entropy"": 0.7166, ""quality_flags"": [""blank_or_near_blank_page""]}",{},False
technical-media-0006,泰昌电缆保护管CPVC工艺流程知识资料第001项,电缆保护管CPVC工艺流程,22,企业证明材料,009c93d2fbf3f8ef5351b3a2d19ec13a429c99a0b08a7c6abd3725a86b1716b2,parsed_outputs/power_grid_customer_corpus/customer_taichang_historical_bid_20260713/p1_01_knowledge_assets/泰昌电缆保护管CPVC工艺流程知识资料第001项.jpeg,quality_review_required,图片存在空白页、小图或低信息量风险，保留提取文件并转人工复核,[],"{""valid"": true, ""file_size"": 136575, ""width"": 1654, ""height"": 2339, ""gray_mean"": 251.5094, ""gray_stddev"": 15.5473, ""white_ratio"": 0.936905, ""entropy"": 0.9809, ""quality_flags"": [""blank_or_near_blank_page""]}",{},False
technical-media-0007,泰昌各工序控制点工艺文件知识资料第001项,各工序控制点工艺文件,26,生产制造能力,659e82a90ddfc09181a2411f7481e1352f7676985524c37626de319c4038c71f,parsed_outputs/power_grid_customer_corpus/customer_taichang_historical_bid_20260713/p1_01_knowledge_assets/泰昌各工序控制点工艺文件知识资料第001项.jpeg,quality_review_required,图片存在空白页、小图或低信息量风险，保留提取文件并转人工复核,[],"{""valid"": true, ""file_size"": 18280, ""width"": 554, ""height"": 784, ""gray_mean"": 252.5136, ""gray_stddev"": 13.2789, ""white_ratio"": 0.966293, ""entropy"": 1.4839, ""quality_flags"": [""blank_or_near_blank_page"", ""image_file_too_small""]}",{},False
technical-media-0008,泰昌各工序控制点工艺文件知识资料第002项,各工序控制点工艺文件,26,生产制造能力,3f3577ad327c2d683e69ba7ed371fedab3f9fdef2b92868ff56d2883a57951f8,parsed_outputs/power_grid_customer_corpus/customer_taichang_historical_bid_20260713/p1_01_knowledge_assets/泰昌各工序控制点工艺文件知识资料第002项.jpeg,already_ingested,同一批次、同一候选已存在，幂等跳过,"[""8739c492-5a76-42b6-99a8-90ef52342962""]","{""valid"": true, ""file_size"": 33975, ""width"": 554, ""height"": 784, ""gray_mean"": 250.4129, ""gray_stddev"": 16.1428, ""white_ratio"": 0.915665, ""entropy"": 2.0652, ""quality_flags"": []}",{},False
technical-media-0009,泰昌各工序控制点工艺文件知识资料第003项,各工序控制点工艺文件,26,生产制造能力,255bb29290085204e51f7ebde27a64deb12d03a70239f5e64d934d85f4bc1d61,parsed_outputs/power_grid_customer_corpus/customer_taichang_historical_bid_20260713/p1_01_knowledge_assets/泰昌各工序控制点工艺文件知识资料第003项.jpeg,already_ingested,同一批次、同一候选已存在，幂等跳过,"[""53586063-8b53-41ae-ae8e-c2c436a06513""]","{""valid"": true, ""file_size"": 42796, ""width"": 554, ""height"": 784, ""gray_mean"": 249.1231, ""gray_stddev"": 18.3715, ""white_ratio"": 0.890671, ""entropy"": 2.3571, ""quality_flags"": []}",{},False
technical-media-0010,泰昌各工序控制点工艺文件知识资料第004项,各工序控制点工艺文件,26,生产制造能力,2da7e1fc594e3f785a3ca918877e437c3bae136cb3e9815fb3862b946c98b1ed,parsed_outputs/power_grid_customer_corpus/customer_taichang_historical_bid_20260713/p1_01_knowledge_assets/泰昌各工序控制点工艺文件知识资料第004项.jpeg,already_ingested,同一批次、同一候选已存在，幂等跳过,"[""d4ebe096-79d7-4bb3-887b-a67aa5f4a028""]","{""valid"": true, ""file_size"": 65653, ""width"": 554, ""height"": 784, ""gray_mean"": 244.5241, ""gray_stddev"": 24.7271, ""white_ratio"": 0.808609, ""entropy"": 3.0139, ""quality_flags"": []}",{},False
technical-media-0011,泰昌各工序控制点工艺文件知识资料第005项,各工序控制点工艺文件,26,生产制造能力,d0309ee31a5894123432884b38b5e7a0446009883bd3ab936a3d91384433456c,parsed_outputs/power_grid_customer_corpus/customer_taichang_historical_bid_20260713/p1_01_knowledge_assets/泰昌各工序控制点工艺文件知识资料第005项.jpeg,already_ingested,同一批次、同一候选已存在，幂等跳过,"[""707d539c-0722-4a2e-9394-e0f91d3f1fc1""]","{""valid"": true, ""file_size"": 44861, ""width"": 554, ""height"": 784, ""gray_mean"": 248.4739, ""gray_stddev"": 19.6984, ""white_ratio"": 0.882034, ""entropy"": 2.3634, ""quality_flags"": []}",{},False
technical-media-0012,泰昌各工序控制点工艺文件知识资料第006项,各工序控制点工艺文件,26,生产制造能力,2836a61a1f6ac9be97e8e8d19981f32f0878fc0e784524bb7a419aa78856b5ca,parsed_outputs/power_grid_customer_corpus/customer_taichang_historical_bid_20260713/p1_01_knowledge_assets/泰昌各工序控制点工艺文件知识资料第006项.jpeg,already_ingested,同一批次、同一候选已存在，幂等跳过,"[""dd9a59ac-7733-4324-88c6-08e54d25a19e""]","{""valid"": true, ""file_size"": 52260, ""width"": 554, ""height"": 784, ""gray_mean"": 247.3931, ""gray_stddev"": 21.0189, ""white_ratio"": 0.858398, ""entropy"": 2.6073, ""quality_flags"": []}",{},False
technical-media-0013,泰昌各工序控制点工艺文件知识资料第007项,各工序控制点工艺文件,26,生产制造能力,24cd2d27cfea760921ddaa87e11e81f48c3166b402886953abac8d858f2e9158,parsed_outputs/power_grid_customer_corpus/customer_taichang_historical_bid_20260713/p1_01_knowledge_assets/泰昌各工序控制点工艺文件知识资料第007项.jpeg,already_ingested,同一批次、同一候选已存在，幂等跳过,"[""d26b86f1-5fe4-400a-8bc4-bf9899c23d76""]","{""valid"": true, ""file_size"": 57058, ""width"": 554, ""height"": 784, ""gray_mean"": 246.5445, ""gray_stddev"": 21.8698, ""white_ratio"": 0.839005, ""entropy"": 2.7762, ""quality_flags"": []}",{},False
technical-media-0014,泰昌各工序控制点工艺文件知识资料第008项,各工序控制点工艺文件,26,生产制造能力,73187779e13a4342e3364af6b88b44121898f44ed6c0d3cd14f40b282a5158e3,parsed_outputs/power_grid_customer_corpus/customer_taichang_historical_bid_20260713/p1_01_knowledge_assets/泰昌各工序控制点工艺文件知识资料第008项.jpeg,already_ingested,同一批次、同一候选已存在，幂等跳过,"[""08a33561-73e0-479e-adea-5a2c8d188189""]","{""valid"": true, ""file_size"": 54380, ""width"": 554, ""height"": 784, ""gray_mean"": 247.2774, ""gray_stddev"": 20.7411, ""white_ratio"": 0.850571, ""entropy"": 2.684, ""quality_flags"": []}",{},False
